smink,0,1000,50000
parfüm,0,3000,100000
rúzs,0,1000,30000
fodrász hajmosás,0,1000,5000
hajvágás,0,3000,20000
hajszárítás,0,1000,10000
hajformázás,0,2000,20000
hajtőfestés,0,5000,30000
melírozás,0,8000,50000
dauer,0,8000,50000
szakállfestés,0,2000,15000
bajuszvágás,0,1000,5000
szemöldökigazítás,0,1000,8000
arckezelés,0,5000,30000
bőrradírozás,0,3000,15000
hidratáló kezelés,0,3000,20000
epilálás,0,2000,30000
szőrtelenítés,0,2000,50000
géllakk,0,3000,15000
műköröm,0,5000,30000
körömerősítés,0,3000,15000
lábápolás,0,3000,20000
callus kezelés,0,2000,15000
svédmasszázs,0,5000,30000
relaxmasszázs,0,5000,30000
aromamasszázs,0,6000,35000
páros masszázs,0,10000,60000
barnítókrém,0,1000,10000
parfümminta,0,500,5000
testpermet,0,1000,15000
alapozó,0,2000,30000
púder,0,1500,20000
szempillaspirál,0,1500,20000
szemceruza,0,500,10000
rúzs,0,1000,30000
sminklemosó,0,1000,10000
arckrém,0,2000,30000
szemránckrém,0,3000,50000
fényvédő,0,2000,20000
arcszérum,0,3000,50000
hajpakolás,0,1000,10000
hajbalzsam,0,1000,10000
hajolaj,0,1000,15000
hajformázó,0,1000,15000
hajlakk,0,1000,10000
szárazsampon,0,1000,10000
fodrász,0,3000,30000
hajfestés,0,5000,40000
borbély,0,3000,15000
kozmetikus,0,3000,30000
manikűr,0,3000,20000
pedikűr,0,4000,25000
masszázs,0,5000,30000
